,Id,Name,Genres,Popularity,Img
22,1Mxqyy3pSjf8kZZL4QVxS0,Frank Sinatra,"['adult standards', 'easy listening', 'lounge']",86,"{'height': 650, 'url': 'https://i.scdn.co/image/fc4e0f474fb4c4cb83617aa884dc9fd9822d4411', 'width': 999}"
23,1eYhYunlNJlDoQhtYBvPsi,Ray Charles,"['adult standards', 'classic soul', 'jazz blues', 'piano blues', 'soul', 'soul blues', 'vocal jazz']",68,"{'height': 920, 'url': 'https://i.scdn.co/image/20c30e31f796ecb901ffb5acca6ca3d77fd5341b', 'width': 600}"
24,2yzxX2DI9LFK8VFTyW2zZ8,Joe Satriani,"['album rock', 'hard rock', 'instrumental rock', 'metal guitar', 'neo classical metal', 'shred']",58,"{'height': 640, 'url': 'https://i.scdn.co/image/7f7bc6f0a572baaeb1d94a10b950964e2636c605', 'width': 640}"
25,0vn7UBvSQECKJm2817Yf1P,James Taylor,"['adult standards', 'classic rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']",71,"{'height': 640, 'url': 'https://i.scdn.co/image/44733cccadc8a5045e35f638c6f852ceb581e13b', 'width': 640}"
26,5NGO30tJxFlKixkPSgXcFE,The Police,"['album rock', 'art rock', 'classic rock', 'dance rock', 'mellow gold', 'new wave', 'permanent wave', 'rock', 'soft rock']",76,"{'height': 641, 'url': 'https://i.scdn.co/image/1f73a61faca2942cd5ea29c2143184db8645f0b3', 'width': 1000}"
27,7nwUJBm0HE4ZxD3f5cy5ok,Aretha Franklin,"['classic soul', 'jazz blues', 'memphis soul', 'soul', 'southern soul']",74,"{'height': 640, 'url': 'https://i.scdn.co/image/b6f67cc4f4d4717aacfcae64695898d9e9a7a079', 'width': 640}"
28,1jeYbk5eqo6wgsQPjLeU5w,Daniel Johnston,"['alternative rock', 'anti-folk', 'freak folk', 'indie rock', 'lo-fi', 'melancholia', 'outsider']",52,"{'height': 365, 'url': 'https://i.scdn.co/image/272c9499f167f4533185520484a64cabd28940ee', 'width': 547}"
29,51Blml2LZPmy7TTiAg47vQ,U2,"['irish rock', 'permanent wave', 'rock']",80,"{'height': 640, 'url': 'https://i.scdn.co/image/e22d5c0c8139b8439440a69854ed66efae91112d', 'width': 640}"
30,4FtSnMlCVxCswABUmdhwpm,Carly Simon,"['adult standards', 'classic rock', 'classic uk pop', 'country rock', 'folk', 'folk rock', 'mellow gold', 'soft rock']",65,"{'height': 640, 'url': 'https://i.scdn.co/image/2408d4187db84c9f53fd5789be1f674dd3b5cfbf', 'width': 640}"
31,27vNK840zYq6IfDijHPsv1,Gilberto Santa Rosa,"['latin', 'salsa', 'salsa puertorriquena', 'tropical']",70,"{'height': 640, 'url': 'https://i.scdn.co/image/09258a450732ab7229be270bf0a62f6b0f536133', 'width': 640}"
32,23wr9RJZg0PmYvVFyNkQ4j,Gary Moore,"['album rock', 'blues rock', 'british blues', 'classic rock', 'electric blues', 'hard rock', 'rock']",61,"{'height': 640, 'url': 'https://i.scdn.co/image/b3120e0f1cd061fb792dca4e20c3c8f61cc34fec', 'width': 640}"
33,7t8q7ikEtcPNtoaKAm9Vu6,Jerry Goldsmith,"['classic soundtrack', 'scorecore', 'soundtrack', 'theme']",53,"{'height': 1255, 'url': 'https://i.scdn.co/image/58617532053465c8dd3725d0ebfde61edf2c6b03', 'width': 1000}"
34,0JM134st8VY7Ld9T2wQiH0,Coleman Hawkins,"['bebop', 'big band', 'contemporary post-bop', 'cool jazz', 'hard bop', 'jazz', 'jazz saxophone', 'soul jazz', 'stride', 'swing', 'vocal jazz']",52,"{'height': 777, 'url': 'https://i.scdn.co/image/9621e2a97694c5d7cdf6770ee9b82e0b9c729b10', 'width': 596}"
35,4KWTAlx2RvbpseOGMEmROg,R.E.M.,"['alternative rock', 'classic rock', 'permanent wave', 'pop rock', 'rock']",75,"{'height': 640, 'url': 'https://i.scdn.co/image/d24ff8fbfd6688b345a5d53acff032d2ac1ff387', 'width': 640}"
36,0GByy3DcfbQwDvXGCWmzv9,Pretenders,"['album rock', 'art rock', 'classic rock', 'dance rock', 'folk', 'folk rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'pop rock', 'rock', 'soft rock']",70,"{'height': 640, 'url': 'https://i.scdn.co/image/b65e8ef3f06ef30e130cbc4532e4b9d8fd024704', 'width': 640}"
37,602DnpaSXJB4b9DZrvxbDc,Peggy Lee,"['adult standards', 'soul', 'swing', 'torch song', 'vocal jazz']",67,"{'height': 640, 'url': 'https://i.scdn.co/image/6826f7f1a0cb5dcb50309f589b2690a2bea13b69', 'width': 640}"
38,26dSoYclwsYLMAKD3tpOr4,Britney Spears,"['dance pop', 'pop', 'pop dance', 'pop rap', 'post-teen pop']",82,"{'height': 640, 'url': 'https://i.scdn.co/image/88b5417c1aef3bbdff1889714136deb5ea310ab8', 'width': 640}"
39,0oSGxfWSnnOXhD2fKuz2Gy,David Bowie,"['album rock', 'art rock', 'classic rock', 'dance rock', 'glam rock', 'permanent wave', 'rock']",80,"{'height': 640, 'url': 'https://i.scdn.co/image/0dfa45563119fd98226ec0d5cd35a80473502469', 'width': 640}"
40,3eqjTLE0HfPfh78zjh6TqT,Bruce Springsteen,"['classic rock', 'heartland rock', 'mellow gold', 'permanent wave', 'rock', 'singer-songwriter']",80,"{'height': 640, 'url': 'https://i.scdn.co/image/22fbfc9f6b2c61c5ca379847d904bfd0b2cc0dc2', 'width': 640}"
41,1YzCsTRb22dQkh9lghPIrp,Billie Holiday,"['adult standards', 'harlem renaissance', 'jazz blues', 'lounge', 'soul', 'torch song', 'vocal jazz']",68,"{'height': 828, 'url': 'https://i.scdn.co/image/4efa6b6871a0f672b78b3d16fd5a03c6cd212d58', 'width': 1000}"
42,7D51E97yRZ8Su45PW9zbzP,June Christy,"['adult standards', 'lounge', 'torch song', 'vocal jazz']",41,"{'height': 756, 'url': 'https://i.scdn.co/image/9c76bdaf7d03bcc91aa139efd90820a60a5c99f1', 'width': 721}"
43,6waa8mKu91GjzD4NlONlNJ,The Hollies,"['album rock', 'art rock', 'brill building pop', 'british invasion', 'bubblegum pop', 'classic rock', 'classic uk pop', 'country rock', 'folk', 'folk rock', 'mellow gold', 'merseybeat', 'psychedelic rock', 'rock', 'rock-and-roll', 'soft rock']",64,"{'height': 600, 'url': 'https://i.scdn.co/image/722e36849bde408b99330c713ebeb19157eabc89', 'width': 603}"
44,0L8ExT028jH3ddEcZwqJJ5,Red Hot Chili Peppers,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']",84,"{'height': 640, 'url': 'https://i.scdn.co/image/89bc3c14aa2b4f250033ffcf5f322b2a553d9331', 'width': 640}"
45,2AM4ilv6UzW0uMRuqKtDgN,ZZ Top,"['album rock', 'blues rock', 'classic rock', 'country rock', 'hard rock', 'metal', 'rock']",71,"{'height': 1503, 'url': 'https://i.scdn.co/image/684172db801f534639d3f047dc8095da623892e3', 'width': 1000}"
46,6QHu71f8LLeT8n0GzfbYFc,Gregory Isaacs,"['dub', 'lovers rock', 'reggae', 'roots reggae']",58,"{'height': 691, 'url': 'https://i.scdn.co/image/ee22aadbd2d54de47d5e210d005fe4c5c49cb86b', 'width': 1000}"
47,2ZvrvbQNrHKwjT7qfGFFUW,Herbie Hancock,"['bebop', 'contemporary post-bop', 'cool jazz', 'funk', 'instrumental funk', 'jazz', 'jazz funk', 'jazz fusion', 'jazz piano', 'soul jazz']",60,"{'height': 640, 'url': 'https://i.scdn.co/image/15e585b2737a5f49278e4bbbf70cd19377fe641a', 'width': 640}"
48,0RUEHcBiENFEqxgicqS2ig,The Stranglers,"['art rock', 'dance rock', 'glam rock', 'new romantic', 'new wave', 'new wave pop', 'post-punk', 'protopunk', 'pub rock', 'punk', 'rock', 'ska', 'synthpop', 'zolo']",61,"{'height': 1041, 'url': 'https://i.scdn.co/image/78818fca4278bc7f51042910b40a2f95df682f59', 'width': 1000}"
49,5yXAFDZNUNyO92l5WTImkO,Billy Bragg,"['alternative country', 'alternative rock', 'anti-folk', 'folk', 'folk punk', 'folk rock', 'permanent wave', 'roots rock', 'singer-songwriter', 'traditional folk', 'uk americana']",56,"{'height': 640, 'url': 'https://i.scdn.co/image/04979f3ff2b4f34ebb2b8c05f299e13c24b63723', 'width': 640}"
50,0EodhzA6yW1bIdD5B4tcmJ,Bobby Darin,"['adult standards', 'big band', 'brill building pop', 'easy listening', 'lounge', 'rock-and-roll', 'rockabilly', 'soul', 'swing', 'vocal jazz']",64,"{'height': 1263, 'url': 'https://i.scdn.co/image/ae8a8b9d9b6a35f00b87fdae31f46db6a13fcd0e', 'width': 1000}"
51,12Chz98pHFMPJEknJQMWvI,Muse,"['modern rock', 'permanent wave', 'rock']",78,"{'height': 640, 'url': 'https://i.scdn.co/image/12450535621500d6e519275f2c52d49c00a0168f', 'width': 640}"
52,7guDJrEfX3qb6FEbdPA5qi,Stevie Wonder,"['adult standards', 'motown', 'quiet storm', 'soul']",80,"{'height': 1008, 'url': 'https://i.scdn.co/image/c59faacbed7aa770266bad048660810eca204108', 'width': 1000}"
53,6v8FB84lnmJs434UJf2Mrm,Neil Young,"['album rock', 'canadian singer-songwriter', 'classic canadian rock', 'classic rock', 'mellow gold', 'permanent wave', 'psychedelic rock', 'rock', 'roots rock', 'singer-songwriter']",72,"{'height': 1000, 'url': 'https://i.scdn.co/image/11cc71e034d0f44aa65b7768e7de67a4b5d28d96', 'width': 1000}"
54,08F3Y3SctIlsOEmKd6dnH8,Yusuf / Cat Stevens,"['british folk', 'classic rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock', 'traditional folk']",72,"{'height': 640, 'url': 'https://i.scdn.co/image/66799a91e92cbc10819874719c5823d3f6974500', 'width': 640}"
55,7DpnqUope0VrBdoh4T5Uod,Mark Lowry,['southern gospel'],36,"{'height': 1000, 'url': 'https://i.scdn.co/image/53717c861c2c650ed4079122517ebadd963d98b5', 'width': 1000}"
56,2vI9KFm0fwSfPrpEgOeIbq,Brad Mehldau,"['bebop', 'contemporary jazz', 'contemporary post-bop', 'cool jazz', 'jazz', 'jazz fusion', 'jazz piano', 'modern jazz piano', 'vocal jazz']",56,"{'height': 1000, 'url': 'https://i.scdn.co/image/317f1b374019ff179b7bc5e9b2748b4bfc79d372', 'width': 1000}"
57,7G1GBhoKtEPnP86X2PvEYO,Nina Simone,"['jazz blues', 'soul', 'soul jazz', 'torch song', 'vocal jazz']",72,"{'height': 640, 'url': 'https://i.scdn.co/image/4fc7c2ed92b3abc1f8c08ec3e8d70caf630ce1ce', 'width': 640}"
58,3EhbVgyfGd7HkpsagwL9GS,Alice Cooper,"['album rock', 'blues rock', 'classic rock', 'glam metal', 'glam rock', 'hard rock', 'metal', 'protopunk', 'rock']",67,"{'height': 640, 'url': 'https://i.scdn.co/image/37d799de1079153f898e0a0a4009fdc45c5265e9', 'width': 640}"
59,6hN9F0iuULZYWXppob22Aj,Simple Minds,"['art rock', 'dance rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'rock', 'scottish new wave', 'soft rock', 'synthpop']",69,"{'height': 640, 'url': 'https://i.scdn.co/image/4a968238be207cda814d42329aa354d9edd4ed43', 'width': 640}"
60,1YqGsKpdixxSVgpfaL2AEQ,Small Faces,"['art rock', 'blues rock', 'british blues', 'british invasion', 'classic rock', 'classic uk pop', 'folk rock', 'freakbeat', 'merseybeat', 'protopunk', 'psychedelic rock', 'pub rock', 'rock']",49,"{'height': 1021, 'url': 'https://i.scdn.co/image/c60674ffc4b94efe99f46196cb1aeaf5bb60956e', 'width': 1000}"
61,5hIClg6noTaCzMu2s5wp4f,Carl Perkins,"['rock-and-roll', 'rockabilly']",50,"{'height': 1000, 'url': 'https://i.scdn.co/image/98560224c0eb3b218928cc9b1138621d4fb29260', 'width': 1000}"
62,3Uf6DUGaXUzrHwoVlOmQUU,Simon Harris,['hip house'],22,"{'height': 640, 'url': 'https://i.scdn.co/image/0c329141848d85f7e600bbdfdc72ad326ad3db9d', 'width': 640}"
63,7jefIIksOi1EazgRTfW2Pk,Electric Light Orchestra,"['album rock', 'art rock', 'beatlesque', 'bow pop', 'classic rock', 'folk rock', 'glam rock', 'mellow gold', 'rock', 'soft rock', 'symphonic rock']",73,"{'height': 640, 'url': 'https://i.scdn.co/image/5a5b295b9cc24c4e45b881e7ca9bcd2a05546bc0', 'width': 640}"
64,2hl0xAkS2AIRAu23TVMBG1,Kansas,"['album rock', 'art rock', 'bow pop', 'classic rock', 'hard rock', 'heartland rock', 'mellow gold', 'progressive rock', 'rock', 'soft rock', 'symphonic rock']",68,"{'height': 640, 'url': 'https://i.scdn.co/image/12759caf08f52bafa60586c1d3509c75d73817ed', 'width': 640}"
65,0NTSMFFapnyZfvmCwzcYPd,Cradle Of Filth,"['black metal', 'british black metal', 'gothic black metal', 'gothic metal', 'metal', 'nu metal', 'symphonic black metal']",54,"{'height': 640, 'url': 'https://i.scdn.co/image/b5b9892c511a523d98dc8666be60c1e88619c3f3', 'width': 640}"
66,0Xk15jHKly4c3AhPr5vjoA,Alan Silvestri,['soundtrack'],65,"{'height': 1226, 'url': 'https://i.scdn.co/image/99a6958df8dfe17c85eff3ac7d2aed2a87413f72', 'width': 1000}"
67,6tbjWDEIzxoDsBA1FuhfPW,Madonna,"['dance pop', 'pop']",78,"{'height': 640, 'url': 'https://i.scdn.co/image/96b4818a65820e91e0e17fcf55a4d2213b019ad4', 'width': 640}"
68,1KsASRNugxU85T0u6zSg32,Tori Amos,"['art pop', 'ectofolk', 'folk', 'lilith', 'melancholia', 'new wave pop', 'permanent wave', 'piano rock', 'pop rock', 'singer-songwriter']",59,"{'height': 640, 'url': 'https://i.scdn.co/image/f935d04766987d00872ab725bd06359e6b2d2b0a', 'width': 640}"
69,0X380XXQSNBYuleKzav5UO,Nine Inch Nails,"['alternative metal', 'alternative rock', 'cyberpunk', 'electronic rock', 'industrial', 'industrial metal', 'industrial rock', 'nu metal', 'rock']",68,"{'height': 640, 'url': 'https://i.scdn.co/image/959969ce11b5b44c45e0061473cf0f19215fdf53', 'width': 640}"
70,1W8TbFzNS15VwsempfY12H,Charles Mingus,"['avant-garde jazz', 'bebop', 'contemporary post-bop', 'cool jazz', 'electric bass', 'free jazz', 'hard bop', 'jazz', 'jazz double bass', 'jazz fusion']",53,"{'height': 640, 'url': 'https://i.scdn.co/image/ed46b0f0e302d8844cc20d4fa9741898e29d9f52', 'width': 640}"
71,32vWCbZh0xZ4o9gkz4PsEU,Dolly Parton,"['classic country pop', 'country', 'country dawn']",78,"{'height': 640, 'url': 'https://i.scdn.co/image/32f67ef86e35dbc757a0b3767ff17053ce3dc718', 'width': 640}"
72,7qG3b048QCHVRO5Pv1T5lw,Enrique Iglesias,"['dance pop', 'latin', 'latin pop', 'mexican pop', 'pop', 'tropical']",78,"{'height': 640, 'url': 'https://i.scdn.co/image/2bfeac48a9fd693e262335c96b8f7fb745b7b5f3', 'width': 640}"
73,0xliTEbFfy5HQHvsTknTkX,Alphaville,"['dance rock', 'europop', 'new romantic', 'new wave', 'new wave pop', 'synthpop']",66,"{'height': 640, 'url': 'https://i.scdn.co/image/f3bd67b1c4935c7e8ce825aa0e8bfbd8149300f8', 'width': 640}"
74,00zOnfp2XbezHQUNAYH7ON,John Michael Talbot,"['rosary', 'worship']",47,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2734a48363421a42aba0274edfc', 'width': 640}"
75,1ZikppG9dPedbIgMfnfx8k,Ike & Tina Turner,"['brill building pop', 'classic soul', 'motown', 'soul', 'southern soul']",57,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2735c0299c2c414e0f13bc5f972', 'width': 640}"
76,7jy3rLJdDQY21OgRLCZ9sD,Foo Fighters,"['alternative metal', 'alternative rock', 'modern rock', 'permanent wave', 'post-grunge', 'rock']",79,"{'height': 640, 'url': 'https://i.scdn.co/image/bbdf2bc486fde7c370e14ced32702157a5e24b32', 'width': 640}"
77,3qUMmh5biaB5hqpF4LqS3m,Julie London,"['adult standards', 'easy listening', 'lounge', 'soul', 'swing', 'torch song', 'vocal jazz']",61,"{'height': 1000, 'url': 'https://i.scdn.co/image/66ce0fab7aceb0dd691fb04a9c77858fc489e43e', 'width': 1000}"
78,2Ev0e8GUIX4u7d9etNLTXg,Jim Reeves,"['adult standards', 'nashville sound']",61,"{'height': 1167, 'url': 'https://i.scdn.co/image/c39b7fb88bc85c058de0c1151184e6a7f8afe98b', 'width': 1000}"
79,1P9syEkl41IFowWIJN7ZBY,Pete Seeger,"['american folk revival', 'appalachian folk', 'banjo', 'folk', 'old-time', 'traditional folk']",48,"{'height': 640, 'url': 'https://i.scdn.co/image/67ac5625cee4290605d95d8436b1dc8215392fbb', 'width': 640}"
80,7EK1bQADBoqbYXnT4Cqv9w,John Denver,"['adult standards', 'classic country pop', 'folk', 'folk rock', 'mellow gold', 'soft rock']",73,"{'height': 640, 'url': 'https://i.scdn.co/image/2e3013f80d3e7386063d4cc21721d1798feb5ec0', 'width': 640}"
